"x"	"y"	"Phase"
"1"	1	3.02295649126934	1
"2"	2	2.15003432488523	1
"3"	3	2.99371587529809	1
"4"	4	1.80290760619441	1
"5"	5	1	1
"6"	6	1.8752285554383	2
"7"	7	1.73670471487377	2
"8"	8	1	2
"9"	9	1.96041519730715	2
"10"	10	2.30589276575989	2
"11"	11	2.94777358534517	2
"12"	12	1	2
"13"	13	2.83137759049736	2
"14"	14	4.40189228704836	2
"15"	15	2.60295263010361	2
"16"	16	5.3323977305555	2
"17"	17	4.1696421310015	2
"18"	18	5.82440111798962	2
"19"	19	5.6638382650601	2
"20"	20	5.44475121763372	2
"21"	21	6.73950565286554	2
"22"	22	7	2
"23"	23	6.25631993442706	2
"24"	24	4.99441097001143	2
"25"	25	6.85962627687817	2
"26"	26	5.70905480422951	2
"27"	27	7	2
"28"	28	7	2
"29"	29	6.18189428322227	2
"30"	30	6.82599602461799	2
"31"	31	6.65133332506671	2
"32"	32	6.65521227599505	2
"33"	33	6.95025519553372	2
"34"	34	7	2
"35"	35	5.13286079376979	2
"36"	31	6.39521713451021	2
"37"	32	6.77298802888697	2
"38"	33	6.48649598520016	2
"39"	34	6.30080589991482	2
"40"	35	6.1074134538966	2
