"x"	"y"	"cvar"	"svar"	"res"	"Phase"	"x2"	"x0"
"1"	1	1	0.968583161128631	0.248689887164855	-0.0370582272409482	"1"	-5	0
"2"	2	3.00276793673448	0.876306680043864	0.481753674101715	1.77353740347657	"1"	-4	1
"3"	3	1	0.728968627421412	0.684547105928689	-0.421402839274872	"1"	-3	2
"4"	4	1.85436086346849	0.535826794978997	0.844327925502015	0.240785718176658	"1"	-2	3
"5"	5	1.91432938169751	0.309016994374947	0.951056516295154	0.10858193038871	"1"	-1	4
"6"	6	1.06317146029033	0.0627905195293133	0.998026728428272	-0.934748297035434	"2"	0	5
"7"	7	1.13339575011984	-0.187381314585725	0.982287250728689	-1.05669631322289	"2"	1	6
"8"	8	2.22274439202128	-0.425779291565073	0.904827052466019	-0.159519977338408	"2"	2	7
"9"	9	1.4167488747819	-0.63742398974869	0.770513242775789	-1.15768780059475	"2"	3	8
"10"	10	1.90352222597495	-0.809016994374947	0.587785252292473	-0.863086755418666	"2"	4	9
"11"	11	1.60684701163937	-0.929776485888251	0.368124552684678	-1.35193427577121	"2"	5	10
"12"	12	2.85708306889526	-0.992114701314478	0.125333233564304	-0.293870524532282	"2"	6	11
"13"	13	4.00234221404785	-0.992114701314478	-0.125333233564304	0.659216314603336	"2"	7	12
"14"	14	1.48861046276659	-0.929776485888251	-0.368124552684678	-2.04668774269488	"2"	8	13
"15"	15	4.82782096323228	-0.809016994374947	-0.587785252292473	1.10035045175384	"2"	9	14
"16"	16	3.37980881290277	-0.63742398974869	-0.770513242775789	-0.53983400459263	"2"	10	15
"17"	17	4.12217201353721	-0.425779291565072	-0.90482705246602	0.0103568900248472	"2"	11	16
"18"	18	5.36063992425561	-0.187381314585725	-0.982287250728689	1.05665249472628	"2"	12	17
"19"	19	4.92368875428347	0.0627905195293137	-0.998026728428272	0.427529018737183	"2"	13	18
"20"	20	6.61979182662424	0.309016994374947	-0.951056516295154	1.93145978506098	"2"	14	19
"21"	21	6.49546903867133	0.535826794978997	-0.844327925502015	1.61496469109111	"2"	15	20
"22"	22	5.69620343877984	0.728968627421412	-0.684547105928688	0.623526785182661	"2"	16	21
"23"	23	7	0.876306680043864	-0.481753674101715	1.73515104038585	"2"	17	22
"24"	24	6.14696313325921	0.968583161128631	-0.248689887164854	0.689941867628097	"2"	18	23
"25"	25	7	1	6.43249059870655e-16	1.35080642835193	"2"	19	24
"26"	26	6.09110129166307	0.968583161128631	0.248689887164855	0.249735413998032	"2"	20	25
"27"	27	5.4890115749537	0.876306680043863	0.481753674101716	-0.544526608728302	"2"	21	26
"28"	28	6.33429259409609	0.728968627421411	0.684547105928689	0.108582104397124	"2"	22	27
"29"	29	7	0.535826794978996	0.844327925502015	0.582117204284072	"2"	23	28
"30"	30	4.12145370068047	0.309016994374947	0.951056516295154	-2.48860140105242	"2"	24	29
"31"	31	6.7527387817195	0.0627905195293133	0.998026728428272	-0.0494886260303579	"2"	25	30
"32"	32	6.77502106022432	-0.187381314585725	0.982287250728689	-0.219378653542498	"2"	26	31
"33"	33	6.86840147919424	-0.425779291565073	0.904827052466019	-0.318170540589547	"2"	27	32
"34"	34	6.68210533985149	-0.637423989748691	0.770513242775789	-0.696638985949259	"2"	28	33
"35"	35	6.48695266315978	-0.809016994374947	0.587785252292473	-1.08396396865793	"2"	29	34
